id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Do U Speak Green Men Blue Shorts
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012.0,Casual,ID Men Red Shoes
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Vans Men Khaki Shoes
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Flats
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Leather Flats
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Mineral Women Green Top
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011.0,Casual,Crocs Dora Boots Pink Sandals
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011.0,Casual,Lotto Men XL Water Man Silver Slippers
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013.0,Casual,Reebok Men Black Possession Flip Flops
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Tonga Women Maroon Top
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Arrow Woman Women Blue Dress
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Ganuchi Men Casual Black Sandals
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Indigo Nation Men Printed Black T-shirt
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Top
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015.0,Casual,Crocs Kids Navy Blue Clogs
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Fila Men Destiny Grey Sports Shoes
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Lotto Men Ridge Brown Sandals
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Jealous 21 Women Black Jeans
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012.0,Casual,iPanema Women Red Flip Flops
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010.0,Casual,Carlton London Women Silver Wedge Sandal
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Kids Adispeed Black Sports Shoes
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011.0,Casual,Puma Men Fashion Cat White Slipper
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,2015.0,Casual,Estd. 1977 Men Beige & Green Sandals
44528,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Coolers Men Black Sandals
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Levis Men Check Red Shirts
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt
47530,Women,Footwear,Shoes,Flats,Copper,Winter,2012.0,Casual,Portia Women Copper-Toned & Brown Sandals
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Heels
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Numero Uno Men White Casual Shoes
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011.0,Casual,Rockport Men LLandro Red Casual Shoes
4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,2015.0,Casual,Skechers Women Green Shoe
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,John Miller Men Solid Type Black Trousers
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Locomotive Men Navy Blue Printed T-shirt
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts
53130,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Brown Sandals
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Striped Blue Shirt
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Lotto Unisex Canvas Black Check Shoe
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Arrow Men Formal Black Shoe
31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Lee Women Paula Blue Top
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Vans Unisex Black & Grey Classic Shoes
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Short Black Shirts
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Nike Men Printed Black T-shirt
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012.0,Casual,ONLY Women directoire blue Trousers
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Gini and Jony Girls Pretty Blossom Blue Top
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Carlton London Men Formal Brown Formal Shoes
21174,Women,Apparel,Topwear,Tops,Beige,Fall,2011.0,Casual,s.Oliver Women Stripes Beige Top
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011.0,Sports,Nike Women Solid Pink Shorts
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Classic Polo Men Stripes Blue Tshirts
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,2011.0,Casual,Doodle Kids Girls Pink I love Shopping Top
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Lotto Men Atlantica Black Sports Shoe
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Little Miss Women Printed Grey T-shirt
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,Jealous 21 Women Black Jegging
12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Men Sports Black Sports Shoes
30234,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,Numero Uno Men Black Flip Flops
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011.0,Sports,ADIDAS Men Solid Navy Blue Track Pant
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Capris
35574,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2013.0,Casual,Gliders Men Esquire Red Flip Flops
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,2012.0,Sports,ADIDAS Women Lavender Hagkok Sports Shoes
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011.0,Casual,Gini and Jony Kids Boys Solid Black Shorts
54543,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012.0,Casual,F Sports Men White Outlander Sports Shoes
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Formal,John Miller Men Dark Grey Trousers
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Tantra Women Flower Heart Black Long T-shirt
32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,FILA Men Liga II Black Shoes
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Uaine Purple Tops
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Tokyo Talkies Women Navy Slim Fit Jeans
45603,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Arrow Men Black Formal Shoes
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Puma Men's YugoRun Black White Shoe
37223,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Top
53766,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Puma Men White and Navy Blue T-shirt
25520,Girls,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,Doodle Kids Girls City Chic White Top
32597,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,ONLY Women Black Top
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Elle Women Dark Pink Top
36137,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,2012.0,Sports,Nike Women Free Run Pink Sports Shoes
41859,Men,Footwear,Sandal,Sandals,Black,Summer,2016.0,Casual,Estd. 1977 Men Black Sandals
21180,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011.0,Casual,ADIDAS Men Adi Cells Black Flip Flops
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013.0,Casual,GAS Men Brown Count Casual Shoes
5630,Women,Footwear,Flip Flops,Flip Flops,Blue,Summer,2011.0,Casual,ADIDAS Women's Adi Groove Blue Flip Flop
44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2013.0,Casual,Coolers Men Brown Pokar Flip Flops
8913,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Puma Men Cabana Racer Sketch White Sports Shoes
16530,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Locomotive Men Check Red Shirt
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men White Capri II Casual Shoe
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Scullers Men Scul Purple White Shirt
46240,Women,Apparel,Topwear,Tunics,White,Summer,2012.0,Casual,Fusion Beats Women White Printed Tunic
13042,Women,Footwear,Shoes,Flats,Brown,Winter,2012.0,Casual,Inc 5 Women Brown Heels
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011.0,Casual,Forever New Women Stone Cream Jacket
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt
55657,Women,Footwear,Shoes,Heels,Gold,Winter,2015.0,Casual,Catwalk Women Golden Wedges
19578,Women,Apparel,Topwear,Tops,Purple,Summer,2011.0,Casual,United Colors of Benetton Women Solid Purple Top
27879,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Scullers For Her Women Blue Top
34452,Women,Footwear,Shoes,Flats,Copper,Winter,2012.0,Casual,Rocia Women Copper Sandals
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Classic Polo Men's Swiss Yellow T-shirt
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Tantra Men's Black Sabbath Navy T-shirt
22537,Men,Footwear,Sandal,Sandals,Tan,Summer,2013.0,Casual,Gas Men Eldorado Tan Casual  Sandals
43500,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,French Connection Men White T-shirt
2627,Women,Footwear,Shoes,Flats,Silver,Fall,2010.0,Casual,Carlton London Women Wedge Silver Sandal
13270,Women,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,Palm Tree Kids Girls Printed White Tops
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Palm Tree Girls Pink Top
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,2011.0,Casual,United Colors of Benetton Men Olive Tshirts
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Tokyo Talkies Women Yellow Top
15187,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Arrow Sport Men Solid White Polo Tshirts
5402,Women,Footwear,Shoes,Sports Shoes,Purple,,2011.0,Sports,Kalenji Ekiden 200 Wn Purple 2011
44725,Women,Footwear,Flip Flops,Flip Flops,Orange,Summer,2012.0,Casual,Lotto Women Coral Elegant Flip Flops
14055,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Flying Machine Men Check Green Shirts
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Applique Navy Blue Tshirt
7731,Men,Footwear,Flip Flops,Flip Flops,Grey,Winter,2011.0,Casual,Puma Men's Winglet II Grey Yellow White Flip Flop
22153,Men,Footwear,Sandal,Sandals,Brown,Summer,2011.0,Casual,Lee Cooper Men Brown Casual Sandals
43958,Men,Footwear,Sandal,Sandals,Olive,Fall,2012.0,Casual,Puma Men Olive Techno Ind Sandal
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Urban Yoga Women Printed Pink T-shirt
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Palm Tree Boys Check Blue Shirt
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt
2243,Men,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,2012.0,Casual,Sepia Women Printed Magenta Top
39729,Women,Apparel,Topwear,Tops,Olive,Summer,2012.0,Casual,Arrow Woman Olive Top
11143,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Price Catch Black Shirts
4988,Women,Apparel,Dress,Dresses,White,Summer,2011.0,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear
44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Indian Terrain Men Blue T-shirt
14431,Women,Footwear,Shoes,Heels,Black,Summer,2012.0,Casual,Enroute Women Casual Black Flats
11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors Of Benetton Men Summer Black Shirts
41401,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Wrangler Women White Smocked Top
4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Wrangler Cowboy Photo T-shirt
16154,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Enroute Men Leather Black Formal Shoes
29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,2013.0,Casual,Basics Men Pack of 3 T-shirt
7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's As Icon Blue T-shirt
34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2013.0,Casual,Proline Men Navy Track Pants
50741,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018.0,Casual,Red Chief Men Black Shoes
13426,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts
43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Summer,2012.0,Sports,Reebok Women Charcoal Grey Fuel Techno Sports Shoes
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,John Miller Men Stripes Blue Shirts
12994,Boys,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes
46278,Women,Apparel,Topwear,Tunics,Red,Summer,2012.0,Casual,109F Women Red & White Striped Tunic
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans
18492,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011.0,Casual,Puma Men Danny Blue Slipper
19540,Men,Apparel,Topwear,Sweaters,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweater
7963,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Puma Men's Large Logo Graphic White French T-shirt
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,2012.0,Casual,Elle Women Brown Trousers
20856,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,United Colors of Benetton Men Casual Black Shoes
41861,Men,Footwear,Sandal,Sandals,Black,Summer,2016.0,Casual,Estd. 1977 Men Black Sandals
5608,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,ADIDAS Men Kendall Black Navy Floater
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,2011.0,Casual,Turtle Solid Men  Burgundy Shirt
20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Wrangler Men Polo Charcoal T-shirt
47198,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Franco Leone Men Brown Sandals
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans
13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Casual,Palm Tree Kids Boy Solid Brown Trousers
43538,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,French Connection Women Blue Top
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear
31118,Girls,Apparel,Topwear,Tops,Red,Summer,2012.0,Casual,Gini and Jony Girls Red Top
19772,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2011.0,Casual,ADIDAS Men Vigor Blue Casual Shoes
5862,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Stripe Black T-shirt
14409,Women,Footwear,Shoes,Heels,White,Summer,2012.0,Casual,Enroute Women Casual White Heels
58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt
11947,Men,Footwear,Sandal,Sandals,Olive,Summer,2012.0,Casual,Ganuchi Men Casual Olive Sandals
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Denizen Women Blue Jeans
29583,Women,Footwear,Shoes,Flats,Silver,Summer,2012.0,Casual,Puma Women Grace Silver Sandals
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,Jealous 21 Women's Aaren Black Jegging
28451,Women,Apparel,Bottomwear,Track Pants,Black,Summer,2012.0,Casual,Urban Yoga Women Black Track Pants
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,Indigo Nation Men Grey Striped Shirt
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts
34832,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men Sukoi White Sports Shoes
23885,Men,Footwear,Shoes,Sports Shoes,Grey,Winter,2012.0,Sports,Fila Men Grey Hex Sports Shoes
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,John Players Men Check Blue Shirt
19124,Women,Footwear,Flip Flops,Flip Flops,Pink,Fall,2011.0,Casual,Lotto Women XL Kelly Pink Slippers
49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,2012.0,Casual,Mineral Women Grey Skirt
2049,Men,Apparel,Topwear,Tshirts,White,Summer,2010.0,Sports,ADIDAS Men's Slim Fit White T-shirt
41439,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2012.0,Sports,Lee Cooper Men Black Sports Shoes
11349,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017.0,Casual,Lee Men Blue Chicago Fit Jeans
24892,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Black T-shirt
58514,Women,Apparel,Topwear,Tops,Grey,Summer,2012.0,Casual,Tonga Women Grey Top
33825,Women,Footwear,Shoes,Sports Shoes,Silver,Summer,2012.0,Sports,Puma Women Kuris Silver & Grey Sports Shoes
38637,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Nike Men Red Delhi T-shirt
5896,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Puma Men Cavallino Black Shoe
4944,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear
10861,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men Dirt Riders White T-Shirts
54923,Girls,Apparel,Bottomwear,Capris,Olive,Summer,2012.0,Casual,Do u speak Green Girls Olive 3/4 Pant
